split	condition_a	condition_b	variable	n_a	n_b	mean_a	mean_b	sd_a	sd_b	median_a	median_b	min_a	max_a	min_b	max_b	smd	ks_statistic
test	high_association	low_association	mean_syllable_count	65	65	1.4384615384615385	1.4461538461538461	0.4550729020210346	0.4931014484480232	1.5	1.5	1.0	3.0	1.0	3.5	-0.016212478835722997	0.0461538461538461
test	high_association	unrelated	mean_subtlex_zipf	65	130	4.290005656994907	4.285560755513208	0.7884127837205478	0.5827950043077805	4.160024803640988	4.235485828323197	3.1557934284153495	7.293766259371621	3.168914756416606	6.340036568086283	0.006411507438400165	0.1461538461538462
test	high_association	unrelated	within_pair_subtlex_difference	65	130	0.9389988463825891	0.952537194295358	0.6159731414031038	0.6868178560100748	0.9086299044452661	0.8089057840532692	0.01484675606857877	2.4178955157704003	0.006018033688999225	2.5087927777049175	-0.02075294522013071	0.11538461538461536
test	high_association	unrelated	mean_orthographic_length	65	130	5.123076923076923	5.15	1.2469674753638864	0.7435771491541319	5.0	5.0	2.5	10.0	3.5	8.5	-0.026225356366631588	0.1076923076923077
test	high_association	unrelated	mean_phoneme_count	65	130	4.138461538461539	4.157692307692308	1.1439640930351993	0.6257851359488161	4.0	4.0	2.0	9.5	3.0	5.5	-0.02085709756023518	0.15384615384615385
test	high_association	unrelated	mean_syllable_count	65	130	1.4384615384615385	1.4423076923076923	0.4550729020210346	0.3919471140988886	1.5	1.5	1.0	3.0	1.0	2.5	-0.009056496404199305	0.046153846153846156
test	low_association	unrelated	mean_subtlex_zipf	65	130	4.295188711952715	4.285560755513208	0.5004717853247861	0.5827950043077805	4.211688140816875	4.235485828323197	3.526426153662638	5.501849631558171	3.168914756416606	6.340036568086283	0.017724671810024364	0.11538461538461536
test	low_association	unrelated	within_pair_subtlex_difference	65	130	0.9468712647710091	0.952537194295358	0.6205018139930126	0.6868178560100748	0.822683649915013	0.8089057840532692	0.00843316753686274	2.319603869951573	0.006018033688999225	2.5087927777049175	-0.008656878507500581	0.09230769230769231
test	low_association	unrelated	mean_orthographic_length	65	130	5.138461538461539	5.15	1.2103321222515109	0.7435771491541319	5.0	5.0	3.5	11.5	3.5	8.5	-0.011487424790297268	0.1461538461538462
test	low_association	unrelated	mean_phoneme_count	65	130	4.130769230769231	4.157692307692308	1.0010811463305367	0.6257851359488161	4.0	4.0	2.5	9.5	3.0	5.5	-0.032251064670365454	0.09230769230769231
test	low_association	unrelated	mean_syllable_count	65	130	1.4461538461538461	1.4423076923076923	0.4931014484480232	0.3919471140988886	1.5	1.5	1.0	3.5	1.0	2.5	0.008635179547964267	0.07692307692307693
